cntr_01 name RA Dec elliptical spiral photoz photozErr FUV NUV U G R I Z J H K W1 W2 W3 W4
1 1237645876861337739 336.634879123214 -0.985760270594359 0.349449 0.650551 0.056632 0.01417 -16.38766281493568 -16.94737281493568 -18.5738 -19.4491 -19.9613 -20.0683 -20.2902 -22.04736281493568 -22.59336281493568 -22.88036281493568 -23.22736281493568 -23.47436281493568 -25.52436281493568 -28.47736281493568
3 1237645876861468830 336.955597535578 -0.862617998857732 0.073604 0.926396 0.084564 0.021163 -9999.0 -16.394001173545796 -19.054 -20.4005 -21.0637 -21.383 -21.6757 -9999.0 -9999.0 -9999.0 -21.934391173545794 -22.273391173545797 -26.061391173545793 -29.065391173545795
6 1237645876861599924 337.240444139241 -0.897468542784394 0.000638 0.999362 0.051624 0.013124 -14.893306056216257 -15.663536056216255 -19.8255 -21.1504 -21.7345 -22.0529 -22.2537 -20.804526056216258 -21.479526056216258 -21.749526056216254 -22.709526056216255 -22.913526056216256 -25.477526056216256 -28.600526056216257
7 1237645876861599925 337.240446459084 -0.89747526764322 0.0 1.0 0.051624 0.013124 -15.134436056216256 -15.985316056216256 -19.8255 -21.1504 -21.7345 -22.0529 -22.2537 -9999.0 -9999.0 -9999.0 -21.79952605621626 -22.005526056216254 -25.591526056216257 -28.352526056216256
8 1237645876861599926 337.240446459084 -0.89747526764322 0.0 1.0 0.051624 0.013124 -15.134436056216256 -15.985316056216256 -19.8255 -21.1504 -21.7345 -22.0529 -22.2537 -9999.0 -9999.0 -9999.0 -21.79952605621626 -22.005526056216254 -25.591526056216257 -28.352526056216256
11 1237645876861796625 337.641593303117 -0.989829319828178 0.009094 0.990906 0.085687 0.023521 -15.072168201197062 -16.114648201197063 -18.9388 -20.0289 -20.8074 -21.1518 -21.4815 -21.28970820119706 -22.022708201197062 -23.391708201197062 -23.576708201197064 -23.73370820119706 -27.03970820119706 -29.119708201197064
16 1237645876861927653 338.014541210097 -0.983418715109598 0.165983 0.834017 0.092815 0.026261 -9999.0 -15.703341883851783 -18.8358 -20.1042 -20.6358 -20.8243 -21.164 -23.593761883851784 -24.36776188385178 -24.88576188385178 -25.560761883851782 -25.64376188385178 -28.64076188385178 -30.59376188385178
20 1237645876861993244 338.157327502447 -0.977258652360362 0.006311 0.993689 0.097359 0.025228 -15.756833652087206 -16.151653652087205 -18.5482 -19.9076 -20.6282 -20.9744 -21.2856 -21.467213652087203 -22.527213652087205 -23.016213652087202 -23.906213652087203 -24.077213652087202 -27.176213652087206 -29.568213652087202
21 1237645876861993305 338.09787640128 -0.919777269370298 0.224711 0.775289 0.078874 0.026322 -16.93712056003283 -17.536470560032832 -17.7554 -19.5274 -19.9188 -20.1325 -20.1738 -9999.0 -9999.0 -9999.0 -21.080630560032837 -20.986630560032836 -25.410630560032835 -28.93663056003283
22 1237645876861993308 338.102164453527 -0.854850011204755 0.432169 0.567831 0.072908 0.026196 -17.67938787670168 -18.05831787670168 -18.9443 -20.334 -20.8251 -21.1356 -21.1999 -21.582847876701678 -22.315847876701678 -22.867847876701678 -23.768847876701678 -23.980847876701677 -27.430847876701677 -29.509847876701677
