Name,T90,Flnc,Flnc_err,Pflux1024,Pflux1024_err,Pflux64,Pflux64_err,PfluxBand,PfluxBand_err,Norm,Epk,alpha,alpha_perr,alpha_nerr,beta,W
GRB080714745,59.649,6.333e-6,1.4144e-7,6.9258,0.3875,8.887,1.6061,1.116754e-6,1.20348e-7,0.02551486,307.1885,-0.8487474,0.1744832,0.1744832,-6.913354,0.99
GRB080723557,58.369,0.00007223,2.5419e-7,30.4516,0.4913,40.9659,2.2423,5.374491e-6,1.590402e-7,0.2441954,194.733,-0.2883679,0.08686186,0.08686186,-2.410852,1.24
GRB080723985,42.816,0.000030792,2.0698e-7,10.1219,0.2771,13.4527,1.2446,2.331533e-6,1.223921e-7,0.0348252,475.1696,-0.8383592,0.08320153,0.08320153,-2.641696,1.15
GRB080724401,379.397,0.000015691,5.0397e-8,12.2,0.2902,22.7262,1.3117,1.5965e-6,8.710227e-8,0.09358162,137.698,-0.6113823,0.1188199,0.1188199,-2.411934,1.31
GRB080725435,25.92,7.9853e-6,4.4172e-8,3.3649,0.1682,5.3812,0.7678,5.938967e-7,6.907176e-8,0.01210496,329.7727,-0.9114301,0.187779,0.187779,-2.534569,1.26
GRB080725541,0.96,4.9216e-7,4.3882e-8,1.6901,0.1291,6.2687,0.7758,1.50584e-6,3.822724e-7,0.02292602,470.4988,-0.8944557,0.353165,0.353165,-5.732057,1.01
GRB080727964,89.089,0.000013298,7.9086e-8,3.5263,0.1787,6.4377,0.9176,7.228525e-7,9.621206e-8,0.0147314,344.2287,-0.8261038,0.1893466,0.1893466,-18.26271,0.98
GRB080730520,17.408,4.8707e-6,9.8931e-8,5.6049,0.2235,7.8278,1.034,7.845545e-7,7.549943e-8,0.101649,111.6066,-0.02903944,0.3855068,0.3855068,-2.254599,1.63
GRB080730786,13.312,6.346e-6,8.3102e-8,14.615,0.2252,16.8932,0.9395,2.297235e-6,8.686911e-8,0.1400246,168.1488,-0.2459447,0.1057001,0.1057001,-2.569786,1.05
GRB080802386,0.576,3.9772e-7,6.852e-9,2.947,0.174,10.4115,1.1162,2.771404e-6,5.59858e-7,0.05292242,370.6485,-0.4203325,0.3591147,0.3591147,-12.30418,0.83
GRB080803772,26.24,4.3867e-6,7.4321e-8,1.7818,0.1134,3.3698,0.6657,6.090021e-7,9.021868e-8,0.01254746,347.9792,0.3887199,0.497871,0.497871,-3.780249,0.68
GRB080804972,24.704,9.1294e-6,1.0589e-7,3.8493,0.1647,5.8104,0.7637,5.580875e-7,9.064421e-8,0.03925236,162.8082,-0.1886347,0.2838167,0.2838167,-2.797097,0.91
GRB080805496,29.44,1.752e-6,4.7789e-8,3.0513,0.2261,4.7729,1.0689,1.511241e-7,1.15946e-7,0.01203527,39.54187,-1.41134,0.3885838,0.3885838,-12.30752,1.42
GRB080805584,65.665,4.3788e-6,6.4487e-8,1.7727,0.1748,4.5493,1.3232,2.50313e-7,7.340289e-8,0.005223174,298.6763,-1.031216,0.4523761,0.4523761,-2.235632,1.97
GRB080806584,2.304,4.3135e-7,2.4964e-8,2.3874,0.1587,4.3261,0.827,2.222881e-7,3.938645e-8,41.43245,52.03233,3.330215,2.731454,2.731454,-2.464691,0.91
GRB080807993,19.072,7.2988e-6,9.0092e-8,8.8811,0.177,19.4154,0.8177,2.620898e-6,1.385997e-7,0.02604297,740.4764,-0.7147528,0.07692558,0.07692558,-2.269692,1.70
GRB080808565,17.728,3.9656e-6,4.2181e-8,5.9798,0.2216,7.7855,0.8655,4.558979e-7,5.072039e-8,0.06939112,72.23482,-0.6455597,0.257624,0.257624,-2.905077,0.98
GRB080809808,28.16,4.1354e-6,5.498e-8,3.7605,0.275,9.1928,1.415,2.7287e-7,7.810714e-8,0.02776067,36.11659,-1.060899,2.32301,2.32301,-2.060198,5.67
GRB080810549,107.457,0.000010823,4.8084e-8,3.5679,0.213,6.7635,1.2599,7.327225e-7,8.256937e-8,0.009237868,734.9279,-1.179501,0.1348743,0.1348743,-2.42858,1.52
GRB080816503,64.769,0.000013301,8.2522e-8,7.4374,0.1822,9.8989,0.755,7.261073e-7,4.943174e-8,0.04451669,137.3718,-0.789656,0.1223686,0.1223686,-9.997235,0.96
GRB080817720,4.416,1.8183e-6,4.143e-8,3.59,0.2119,7.9338,0.9219,1.025699e-6,8.634604e-8,0.008836998,1182.252,-0.8896284,0.1500589,0.1500589,-4.069768,1.00
GRB080818579,59.329,3.8035e-6,5.8259e-8,4.5796,0.1906,7.3446,0.8512,7.629515e-7,8.39463e-8,0.0258565,214.5395,-0.6927241,0.1918797,0.1918797,-2.582862,1.14
GRB080818945,13.376,1.7392e-6,2.4448e-8,4.0091,0.1909,6.2205,0.8874,2.060196e-7,4.242284e-8,0.07392675,55.95725,-0.4683975,0.3983927,0.3983927,-6.289273,0.85
GRB080821332,5.888,3.5872e-6,1.7551e-8,9.6378,0.274,11.418,1.1096,1.069456e-6,0,0.0587365,154.2339,-0.6988051,0,0,-26.5114,0.92
GRB080823363,43.456,5.546e-6,3.5725e-8,4.6246,0.2112,6.7152,0.897,5.412941e-7,6.417422e-8,0.01369709,162.4589,-1.3199,0.2331104,0.2331104,-2.090499,4.16
GRB080824909,7.424,2.7329e-6,5.9106e-8,7.2614,0.2307,12.8658,0.9833,9.73788e-7,7.715627e-8,0.0310144,211.0407,-0.9714183,0.1065247,0.1065247,-4.245731,1.05
GRB080829790,7.68,2.525e-6,2.1827e-8,4.4807,0.2365,7.0503,1.2893,4.057017e-7,6.080981e-8,0.3479413,84.72321,0.9018782,0.7646735,0.7646735,-2.683403,0.83
GRB080830368,40.897,6.9958e-6,1.0968e-7,4.6662,0.183,6.4934,0.7988,8.769719e-7,8.751251e-8,0.01741814,339.4493,-0.8350146,0.1605369,0.1605369,-2.416548,1.37
GRB080831053,0.576,5.6227e-8,1.7354e-8,0.3281,0.202,4.6597,1.105,9.153317e-7,3.019279e-7,0.1436908,162.8083,1.068023,1.516828,1.516828,-2.751945,0.78
GRB080831921,74.497,8.4741e-6,4.0239e-8,2.8492,0.2051,5.541,1.1201,3.221279e-7,6.623281e-8,0.0201305,144.0289,-0.7107197,0.5002947,0.5002947,-15.29612,0.93
GRB080904886,17.344,5.2448e-6,7.0695e-8,15.8351,0.2729,19.1596,1.2255,8.056884e-7,5.438688e-8,0.08246158,51.3841,-1.145057,0.1652484,0.1652484,-3.221804,1.17
GRB080905499,0.96,8.5046e-7,4.6217e-8,2.3411,0.1351,6.3191,0.6754,2.801938e-6,4.499353e-7,0.02154608,676.7375,-0.1658796,0.4490574,0.4490574,-9.851741,0.77
GRB080906212,2.875,5.8696e-6,1.3896e-7,20.2933,0.3326,24.8394,1.4509,2.923339e-6,7.680077e-8,0.1758147,162.2117,-0.2795855,0.06772788,0.06772788,-2.401464,1.25
GRB080912360,16.384,2.134e-6,2.9727e-8,2.4847,0.1451,4.8247,0.7043,2.596869e-7,5.622361e-8,0.01722716,80.25993,-0.9817374,0.5260856,0.5260856,-2.280896,1.75
GRB080913735,41.217,3.5447e-6,8.6707e-8,3.405,0.1824,5.988,0.8835,2.723864e-7,8.891956e-8,0.0645144,108.6131,0.08396206,0.4455285,0.4455285,-9.911412,0.72
GRB080916009,62.977,0.000060272,6.9972e-8,13.6635,0.2933,16.3989,1.6469,3.571289e-6,1.688135e-7,0.05229935,476.7315,-0.7542545,0.06092961,0.06092961,-2.63554,1.12
GRB080916406,46.337,7.8107e-6,8.1758e-8,4.47,0.288,7.1018,1.3541,8.416191e-7,9.741486e-8,0.0304773,241.1314,-0.4276115,0.1708976,0.1708976,-4.830435,0.84
GRB080919790,0.512,4.5867e-8,5.0626e-9,0.6759,0.1805,4.558,1.1432,5.82286e-7,4.022177e-7,0.03136424,161.9193,-0.7023905,0.6653244,0.6653244,-6.758482,0.92
GRB080925775,31.744,0.000018466,3.9961e-8,15.4041,0.2387,17.2141,0.9995,2.389271e-6,8.712561e-8,0.1052212,167.8182,-0.58039,0.09638583,0.09638583,-2.219032,1.92
GRB080928628,14.336,1.165e-6,3.7608e-8,3.1868,0.2252,6.024,1.272,2.095947e-7,6.408317e-8,0.01298515,83.13947,-1.138584,0.4486743,0.4486743,-2.916776,1.20
GRB081006872,3.328,3.8718e-7,2.0198e-8,1.5316,0.2502,3.9278,1.197,1.989809e-7,6.292639e-8,0.6221948,110.0737,2.967699,2.894687,2.894687,-2.742274,0.69
GRB081008832,150.015,0.000010322,1.5008e-7,2.6607,0.1588,5.3266,0.7918,3.352711e-7,6.391938e-8,0.01705405,173.2569,-0.6622945,0.3007005,0.3007005,-12.30417,0.91
GRB081009140,41.345,0.000038302,4.5266e-8,117.014,0.6172,129.892,2.487,8.20359e-6,1.657648e-7,0.9693172,73.83979,-0.8790306,0.02979315,0.02979315,-7.971738,1.00
GRB081012549,30.721,4.506e-6,1.1248e-7,2.0457,0.1303,4.7577,0.8046,6.070581e-7,1.177782e-7,0.006256204,626.0776,-0.5172774,0.3296287,0.3296287,-4.948403,0.86
GRB081017474,28.416,1.389e-6,2.0957e-8,2.7458,0.2462,4.6269,1.2397,1.578013e-7,3.630289e-8,0.1166312,58.01918,0.02132498,0.7563107,0.7563107,-3.610113,0.74
GRB081021398,26.112,5.7438e-6,7.9039e-8,3.5268,0.2254,5.8781,0.9494,4.268254e-7,9.411062e-8,0.07570644,142.0447,0.4686951,0.578836,0.578836,-3.927408,0.67
GRB081024245,0.832,1.9867e-7,1.6934e-8,1.852,0.2939,6.8014,1.3804,2.651241e-6,6.070389e-7,0.02321544,596.1074,-0.09717924,0.649251,0.649251,-4.979814,0.76
GRB081024851,56.065,6.2707e-6,7.1664e-8,2.3683,0.1806,4.5775,0.8948,1.737801e-7,8.280605e-8,0.02209618,87.07204,-0.6907544,0.4659002,0.4659002,-7.872258,0.92
GRB081024891,0.64,3.547e-7,2.8646e-8,2.1399,0.1361,5.3643,0.5639,2.401924e-6,3.689786e-7,0.01447155,1495.904,-0.6281869,0.3492901,0.3492901,-2.105691,3.39
GRB081025349,22.528,6.3231e-6,1.1809e-7,4.0933,0.1689,5.1034,0.6922,1.079718e-6,1.171463e-7,0.01784336,405.6714,-0.4146322,0.2252917,0.2252917,-2.765537,0.96
GRB081028538,13.312,2.2658e-6,2.5879e-8,6.3379,0.2153,8.1179,0.9405,5.66443e-7,5.629559e-8,0.3143641,64.04476,0.1706366,0.4513575,0.4513575,-2.474942,1.08
GRB081101491,0.128,1.6822e-7,3.645e-9,1.0616,0.1496,7.9746,0.8013,1.137195e-6,3.346163e-7,0.05006035,207.753,-0.4559148,0.5042921,0.5042921,-3.756732,0.85
GRB081101532,8.256,0.000015075,3.4615e-7,9.7516,0.3124,12.9624,1.2924,2.444888e-6,1.393241e-7,0.03165427,521.3774,-0.6367602,0.1178527,0.1178527,-2.374242,1.38
GRB081102365,1.728,1.0899e-6,3.2348e-8,2.645,0.1383,5.0564,0.5692,1.517286e-6,4.00611e-7,0.02170386,463.6771,-0.6277758,0.5357199,0.5357199,-2.193225,2.11
GRB081105614,1.28,2.748e-7,1.8363e-8,0.8106,0.1797,7.9475,1.0249,3.106523e-6,4.418598e-7,0.05848074,324.8822,2.201435,1.766407,1.766407,-2.552059,0.85
GRB081107321,1.664,1.2248e-6,3.1851e-8,9.955,0.1935,13.5399,0.8451,1.306182e-6,2.20703e-7,5.337136,58.49905,1.259267,1.316453,1.316453,-2.561895,0.89
GRB081110601,11.776,5.4107e-6,1.0098e-7,15.3759,0.2651,21.1918,1.1912,4.326081e-6,1.374361e-7,0.05007242,642.0128,-0.8020508,0.04709582,0.04709582,-2.753171,1.08
GRB081118876,20.736,4.9389e-6,4.4288e-8,7.2922,0.1864,9.5766,0.8788,6.942184e-7,6.657768e-8,0.06541336,91.88237,-0.6748225,0.1977661,0.1977661,-2.50262,1.21
GRB081119184,0.32,1.2952e-7,1.756e-8,1.3993,0.2346,4.7985,1.2488,2.864463e-7,1.561339e-7,0.8248591,57.25549,0.7323942,1.828157,1.828157,-13.65059,0.63
GRB081120618,25.344,1.9371e-6,2.4191e-8,4.2462,0.2779,6.2738,1.3124,3.681442e-7,5.781365e-8,0.06543205,72.20731,-0.4351858,0.4811028,0.4811028,-2.444306,1.22
GRB081122520,23.296,7.5441e-6,7.8542e-8,12.1936,0.2382,21.5078,1.111,2.255475e-6,9.845771e-8,0.05040483,316.1556,-0.6254813,0.08638328,0.08638328,-2.668947,1.06
GRB081122614,0.192,1.3901e-7,7.9485e-9,1.7011,0.2029,9.2089,1.4316,1.075296e-6,2.901733e-7,0.05512713,176.5214,-0.6198646,0.496764,0.496764,-8.262627,0.89
GRB081124060,19.456,8.5897e-6,7.9771e-8,19.7831,0.2499,21.6558,1.1951,9.105219e-7,4.25249e-8,0.1188093,12.2356,-1.538464,0.5037419,0.5037419,-2.738304,1.70
GRB081125496,9.28,0.000018544,1.3285e-7,23.2499,0.435,27.5619,1.9093,4.647386e-6,1.667789e-7,0.1743237,248.7512,-0.2187865,0.07562552,0.07562552,-5.940285,0.78
GRB081126899,54.145,0.000011449,6.6615e-8,6.4959,0.1919,7.7665,0.8146,1.375755e-6,7.331351e-8,0.03182744,293.157,-0.5060318,0.1456539,0.1456539,-2.176168,2.23
GRB081129161,62.657,0.000016194,1.4679e-7,14.2978,0.3125,19.5814,1.3798,2.662964e-6,1.029463e-7,0.07685948,247.7874,-0.3178276,0.1374063,0.1374063,-2.082439,4.13
GRB081130629,45.569,3.2154e-6,5.5529e-8,4.3699,0.1888,6.1697,0.8483,4.478469e-7,8.769511e-8,0.02097266,149.7775,-0.88182,0.2302356,0.2302356,-2.978251,1.05
GRB081204004,7.424,1.0188e-6,5.3861e-8,3.0146,0.1466,4.9981,0.659,5.681112e-7,9.359606e-8,0.0135296,301.4156,-0.7693828,0.2041051,0.2041051,-13.5953,0.95
